zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,total_cloud_cover_sfc,relative_humidity_2_m_above_gnd,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,total_precipitation_sfc,high_cloud_cover_high_cld_lay,generated_power_kw
87.572147,101.74681,0,0,59,0,0,9.13,0,0,50.925278
70.215989,80.717608,483.27,60,24,0,60,26.23,0,100,64.070626
24.366743,21.881586,897.12,0,22,0,0,21.75,0,0,2526.3101
45.543686,44.840521,478.82,100,54,0,100,13.46,0,100,1145.4596
19.955327,26.212067,921.15,0,31,0,0,22.51,0,0,2564.0717
82.019998,67.574399,1.78,100,91,100,100,10.47,0.1,0,84.506667
75.659508,92.569384,373.8,3.3,22,0,0,28.42,0,11,1.7166667
37.985529,36.786853,846.39,0,34,0,0,22.15,0,0,645.65022
72.979873,46.230416,494.84,0,44,0,0,5.72,0,0,1566.4214
74.12439,43.407591,124.6,0,81,0,0,3.98,0,0,2133.4811
39.805771,50.131992,598.97,0,29,0,0,28.52,0,0,2097.4108
43.857569,54.337515,250.98,66,42,66,66,21.37,0,11,313.17749
62.808486,21.787798,187.79,100,80,100,0,1.02,0.1,0,316.44196
65.336683,45.278953,49.84,100,92,100,0,-0.96,0,0,1602.8818
37.430704,32.516649,652.37,0,23,0,0,28.06,0,0,2416.8733
66.606854,80.847494,465.47,18,18,0,18,27.88,0,2,131.50167
33.029799,42.396831,263.44,100,43,85,100,21.57,0.5,100,378.12721
51.208576,30.727565,678.18,10,45,10,0,6.73,0,0,1378.1712
47.87214,52.898855,784.98,0,34,0,0,23.9,0,0,1363.6277
68.289184,53.587384,182.45,100,55,0,100,13.74,0,5,2078.2383
20.753527,25.002554,824.14,10,32,10,10,28.64,0,0,2582.5525
61.816933,45.010024,696.87,0,24,0,0,18.76,0,0,2120.9897
68.87085,78.3455,521.54,0,13,0,0,31.05,0,0,26.366205
39.904579,30.283825,640.8,26,30,0,26,16.91,0,0,2459.8269
70.838228,80.522298,498.4,0,31,0,0,18.32,0,0,7.5130556
55.709948,67.406901,427.2,100,22,0,100,26.75,0,0,506.42556
98.010606,114.19494,0,45,86,45,0,5.22,0,2,5.7468468
64.124049,76.376954,230.51,9.3,27,0,1,24.32,0,31,470.79972
79.560244,89.17981,11.57,0,84,0,0,11.41,0,0,425.52278
84.30374,101.95601,0,100,94,100,0,4.61,0,0,119.65333
44.77851,47.659185,525.1,0,52,0,0,19.37,0,0,2233.9267
55.680034,64.875564,642.58,10,35,10,10,27.04,0,18,497.39556
43.070224,53.872185,388.04,10,34,10,10,24.78,0,0,248.735
39.692501,48.250613,604.31,0,48,0,0,19.74,0,0,2293.7316
56.124263,67.414809,644.36,10,27,10,10,24.1,0,0,447.6775
64.245446,19.80405,401.39,100,32,0,100,15.98,0,100,2490.2319
32.345378,42.298723,911.36,0,23,0,0,26.73,0,0,1885.4205
85.950009,101.72944,0,100,29,0,100,18.5,0,22,161.31064
39.131398,30.987919,634.57,0,27,0,0,25.5,0,0,2481.646
65.755409,32.817529,135.28,0,35,0,0,3.36,0,0,2207.8295
77.367273,49.103443,321.29,3.3,67,0,0,11.18,0,11,30.444841
60.044776,24.526389,486.83,9,52,9,0,17.98,0,5,320.10111
61.975691,37.058619,554.47,0,48,0,0,16.25,0,0,1111.5136
86.981664,101.71885,0,100,46,0,100,7.36,0,100,174.86523
65.536885,37.993954,182.45,51,61,51,51,13.8,0.2,0,259.18582
71.966959,52.995398,131.72,16,68,0,16,12.06,0,44,1505.8628
71.080891,60.0843,630.12,0,22,0,0,18.28,0,0,1071.7122
71.140223,72.846794,106.8,5,85,5,0,16.64,0,0,1084.5632
69.191119,35.067678,477.04,0,50,0,0,12.29,0,0,2246.8706
25.642905,31.30448,400.5,100,41,100,10,17.97,0,0,591.67188
81.866205,60.221244,0,100,94,100,0,-2.99,0,0,39.840833
58.159823,66.971789,672.84,0,41,0,0,17.31,0,0,546.20371
85.180199,62.033585,345.32,0,33,0,0,12.4,0,0,93.423875
121.46318,105.86656,228.73,0,47,0,0,6.54,0,0,9.6666667
93.915453,116.0174,0,0,99,0,0,9.09,0,0,6.8295082
71.037006,51.80985,274.12,100,39,100,100,18.09,0,29,140.78346
79.484072,56.223037,136.17,100,79,100,71,1.71,0.4,0,46.973611
36.965809,15.229404,699.54,3.9,25,0,0,24.08,0,13,1644.86
70.154088,51.641838,462.8,100,48,0,100,13.38,0,100,135.97611
61.320051,16.729554,295.48,100,77,100,0,1.62,0.1,0,870.24529
73.43988,53.026617,59.63,100,89,63,100,9.84,0,100,1409.4642
